suite,name,spec,batch,length,weights,cls,s1_today,native_today,native_over_s1,s1_p16,native_p16,native_p16_over_today,s1_p16_over_today,s1_engine_today,s1_engine_p16,anchor_engine,anchor_over_s1_engine,cpu_today,cpu_anchor,cpu_anchor_over_today,check,s1_beats_cpu,native_beats_cpu,error_s1,error_native
suite106,big00-b32l128,bytes.emb.512|mgru.512,32,128,,big,10.2494,11.335,1.1059,10.3409,24.3835,2.1512,1.0089,,,,,,,,,,,,
suite106,big00-b8l256,bytes.emb.512|mgru.512,8,256,,big,17.419,17.4161,0.9998,17.5162,42.0271,2.4131,1.0056,,,,,,,,,,,,
suite106,big01-b32l128,bytes.emb.256|gru.256-gru.256-gru.256,32,128,,big,19.8234,19.9668,1.0072,19.8807,74.1426,3.7133,1.0029,,,,,,,,,,,,
suite106,big01-b8l256,bytes.emb.256|gru.256-gru.256-gru.256,8,256,,big,36.8465,36.5626,0.9923,37.1945,132.0656,3.612,1.0094,,,,,,,,,,,,
suite106,big02-b32l128,bytes|gru.512,32,128,,big,17.0285,17.0409,1.0007,17.1369,30.6189,1.7968,1.0064,,,,,,,,,,,,
suite106,big02-b8l256,bytes|gru.512,8,256,,big,32.0779,32.2074,1.004,32.2202,46.3738,1.4398,1.0044,,,,,,,,,,,,
suite106,big03-b32l128,bytes.emb.512|gru.512,32,128,,big,18.544,18.0953,0.9758,18.3466,31.7842,1.7565,0.9894,,,,,,,,,,,,
suite106,big03-b8l256,bytes.emb.512|gru.512,8,256,,big,32.626,33.0023,1.0115,32.7942,47.2655,1.4322,1.0052,,,,,,,,,,,,
suite106,big04-b32l128,"bytes.emb.512|split.add(gru.512, pass)",32,128,,big,18.9407,19.0774,1.0072,18.4171,31.8967,1.672,0.9724,,,,,,,,,,,,
suite106,big04-b8l256,"bytes.emb.512|split.add(gru.512, pass)",8,256,,big,32.6666,32.8147,1.0045,32.8334,47.5634,1.4495,1.0051,,,,,,,,,,,,
suite106,big05-b32l128,bytes.emb.512|gru.512-rmsnorm,32,128,,big,19.9306,23.5094,1.1796,19.1144,32.1078,1.3657,0.959,,,,,,,,,,,,
suite106,big05-b8l256,bytes.emb.512|gru.512-rmsnorm,8,256,,big,32.745,32.9267,1.0055,32.8936,47.567,1.4446,1.0045,,,,,,,,,,,,
suite106,big06-b32l128,bytes.emb.512|conv.4-gru.512,32,128,,big,19.738,19.6348,0.9948,19.2628,33.5472,1.7086,0.9759,,,,,,,,,,,,
suite106,big06-b8l256,bytes.emb.512|conv.4-gru.512,8,256,,big,32.9231,33.055,1.004,33.0734,48.4778,1.4666,1.0046,,,,,,,,,,,,
suite106,big07-b32l128,bytes.emb.512|dense.512.gelu-gru.512,32,128,,big,22.3782,19.5378,0.8731,20.2078,33.9393,1.7371,0.903,,,,,,,,,,,,
suite106,big07-b8l256,bytes.emb.512|dense.512.gelu-gru.512,8,256,,big,33.3538,33.2362,0.9965,33.9473,48.2401,1.4514,1.0178,,,,,,,,,,,,
suite106,big08-b32l128,bytes.emb.512|lstm.512,32,128,,big,27.213,27.3041,1.0033,27.4643,32.3782,1.1858,1.0092,,,,,,,,,,,,
suite106,big08-b8l256,bytes.emb.512|lstm.512,8,256,,big,43.2866,42.9667,0.9926,43.5694,52.1344,1.2134,1.0065,,,,,,,,,,,,
suite106,big09-b32l128,bytes.emb.1024|rnn.1024.tanh,32,128,,big,23.6028,21.745,0.9213,22.5803,21.0588,0.9684,0.9567,,,,,,,,,,,,
suite106,big09-b8l256,bytes.emb.1024|rnn.1024.tanh,8,256,,big,38.392,38.4168,1.0006,38.5916,26.0683,0.6786,1.0052,,,,,,,,,,,,
suite106,big10-b32l128,bits.4.oh+bp|gru.1024,32,128,,big,64.0164,56.748,0.8865,57.7736,57.1224,1.0066,0.9025,,,,,,,,,,,,
suite106,big10-b8l256,bits.4.oh+bp|gru.1024,8,256,,big,73.3778,73.63,1.0034,73.5109,73.1884,0.994,1.0018,,,,,,,,,,,,
suite106,big11-b32l128,bytes.emb.512|gru.512-gru.512,32,128,,big,42.444,37.3137,0.8791,37.7104,63.5401,1.7029,0.8885,,,,,,,,,,,,
suite106,big11-b8l256,bytes.emb.512|gru.512-gru.512,8,256,,big,65.021,65.2085,1.0029,65.1003,97.4597,1.4946,1.0012,,,,,,,,,,,,
suite106,big12-b32l128,bytes.emb.1024|msr.256.4,32,128,,big,9.8378,9.7627,0.9924,9.7729,9.8155,1.0054,0.9934,,,,,,,,,,,,
suite106,big12-b8l256,bytes.emb.1024|msr.256.4,8,256,,big,5.636,5.6395,1.0006,5.4611,5.2405,0.9292,0.969,,,,,,,,,,,,
suite106,big13-b32l128,bytes|lstm.1024,32,128,,big,73.2597,66.9071,0.9133,69.806,65.7604,0.9829,0.9529,,,,,,,,,,,,
suite106,big13-b8l256,bytes|lstm.1024,8,256,,big,98.1235,96.8069,0.9866,95.4734,85.4307,0.8825,0.973,,,,,,,,,,,,
suite106,big14-b32l128,"bytes.emb.512|split.add(rmsnorm-attn.512.8.64, pass)-split.add(rmsnorm-dense.2048.gelu-dense.512, pass)-split.add(rmsnorm-attn.512.8.64, pass)-split.add(rmsnorm-dense.2048.gelu-dense.512, pass)",32,128,,big,22.0374,24.6866,1.1202,21.8899,17.9116,0.7256,0.9933,,,,,,,,,,,,
suite106,big14-b8l256,"bytes.emb.512|split.add(rmsnorm-attn.512.8.64, pass)-split.add(rmsnorm-dense.2048.gelu-dense.512, pass)-split.add(rmsnorm-attn.512.8.64, pass)-split.add(rmsnorm-dense.2048.gelu-dense.512, pass)",8,256,,big,11.9385,12.0707,1.0111,11.9661,10.6065,0.8787,1.0023,,,,,,,,,,,,
suite106,big15-b32l128,bytes.emb.1024|gru.1024,32,128,,big,75.9495,73.3671,0.966,76.4536,74.7011,1.0182,1.0066,,,,,,,,,,,,
suite106,big15-b8l256,bytes.emb.1024|gru.1024,8,256,,big,79.6045,96.608,1.2136,79.5486,78.8766,0.8165,0.9993,,,,,,,,,,,,
