suite,name,cls_or_weights,stage1_ms,native_ms,native_over_stage1,extra_ms,extra_col,standalone_stage1_ms,standalone_native_ms,standalone_ratio,anomaly_verdict
suite106,big00-b32l128,big,12.4441,10.0413,0.8069,,,10.2475,10.1893,0.9943,in-suite artifact
suite106,big00-b8l256,big,17.3924,17.3735,0.9989,,,,,,
suite106,big01-b32l128,big,19.8641,19.9422,1.0039,,,,,,
suite106,big01-b8l256,big,36.8204,36.4831,0.9908,,,,,,
suite106,big02-b32l128,big,17.2147,17.0607,0.9911,,,,,,
suite106,big02-b8l256,big,32.0633,32.4801,1.013,,,,,,
suite106,big03-b32l128,big,19.7886,18.0236,0.9108,,,,,,
suite106,big03-b8l256,big,32.6275,32.712,1.0026,,,,,,
suite106,big04-b32l128,big,19.3555,18.148,0.9376,,,,,,
suite106,big04-b8l256,big,32.675,33.1063,1.0132,,,,,,
suite106,big05-b32l128,big,19.8301,19.0543,0.9609,,,,,,
suite106,big05-b8l256,big,32.7459,32.8485,1.0031,,,,,,
suite106,big06-b32l128,big,19.4599,19.9194,1.0236,,,,,,
suite106,big06-b8l256,big,32.8968,33.0263,1.0039,,,,,,
suite106,big07-b32l128,big,18.9562,19.9839,1.0542,,,,,,
suite106,big07-b8l256,big,33.3532,37.7588,1.1321,,,33.0212,33.1387,1.0036,in-suite artifact
suite106,big08-b32l128,big,27.1821,27.0541,0.9953,,,,,,
suite106,big08-b8l256,big,43.4571,43.1838,0.9937,,,,,,
suite106,big09-b32l128,big,21.5507,20.9855,0.9738,,,,,,
suite106,big09-b8l256,big,38.3682,25.5601,0.6662,,,38.3456,25.3779,0.6618,real
suite106,big10-b32l128,big,63.2045,64.2648,1.0168,,,,,,
suite106,big10-b8l256,big,72.9893,73.1504,1.0022,,,,,,
suite106,big11-b32l128,big,39.3806,39.886,1.0128,,,,,,
suite106,big11-b8l256,big,64.9615,65.0486,1.0013,,,,,,
suite106,big12-b32l128,big,9.7129,9.7391,1.0027,,,,,,
suite106,big12-b8l256,big,5.1895,6.0135,1.1588,,,5.191,5.1801,0.9979,in-suite artifact
suite106,big13-b32l128,big,69.9361,73.5725,1.052,,,,,,
suite106,big13-b8l256,big,93.6767,97.9372,1.0455,,,,,,
suite106,big14-b32l128,big,17.8812,21.4193,1.1979,,,17.4628,17.456,0.9996,in-suite artifact
suite106,big14-b8l256,big,10.9083,11.7526,1.0774,,,,,,
suite106,big15-b32l128,big,73.0143,76.7973,1.0518,,,,,,
suite106,big15-b8l256,big,77.5245,79.6895,1.0279,,,,,,
suite106,big16-b32l128,big,60.7611,66.7557,1.0987,,,,,,
suite106,big16-b8l256,big,89.866,96.8637,1.0779,,,,,,
suite106,db00-b16l128,db,0.1442,0.1418,0.9834,,,,,,
suite106,db00-b64l256,db,0.2085,0.2075,0.9952,,,,,,
suite106,db01-b256l512,db,1.3377,1.3377,1.0,,,,,,
suite106,db01-b64l256,db,0.2337,0.2297,0.9829,,,,,,
suite106,db02-b256l512,db,3.4329,3.4395,1.0019,,,,,,
suite106,db02-b4l1024,db,0.7957,0.7912,0.9943,,,,,,
suite106,db03-b128l128,db,1.1624,1.1627,1.0003,,,,,,
suite106,db03-b4l1024,db,0.8155,0.8171,1.002,,,,,,
suite106,db04-b128l128,db,0.2973,0.2984,1.0037,,,,,,
suite106,db04-b16l128,db,0.221,0.2189,0.9905,,,,,,
suite106,db05-b16l128,db,0.7079,0.7129,1.0071,,,,,,
suite106,db05-b64l256,db,1.4345,1.4319,0.9982,,,,,,
suite106,db06-b256l512,db,10.9431,10.9489,1.0005,,,,,,
suite106,db06-b64l256,db,1.4577,1.4583,1.0004,,,,,,
suite106,db07-b256l512,db,16.0597,16.1197,1.0037,,,,,,
suite106,db07-b4l1024,db,24.4477,24.2582,0.9922,,,,,,
suite106,db08-b128l128,db,3.6703,3.6757,1.0015,,,,,,
suite106,db08-b4l1024,db,24.3122,24.3792,1.0028,,,,,,
suite106,db09-b128l128,db,1.4166,1.4075,0.9936,,,,,,
suite106,db09-b16l128,db,0.3867,0.3843,0.9938,,,,,,
suite106,db10-b16l128,db,3.5126,3.5176,1.0014,,,,,,
suite106,db10-b64l256,db,7.4179,7.4054,0.9983,,,,,,
suite106,db11-b256l512,db,2.1758,2.8568,1.313,,,2.1799,2.8587,1.3114,real
suite106,db11-b64l256,db,0.6357,0.6387,1.0047,,,,,,
suite106,db12-b256l512,db,100.8598,102.6578,1.0178,,,,,,
suite106,db12-b4l1024,db,135.3919,135.4952,1.0008,,,,,,
suite106,db13-b128l128,db,0.6501,0.6448,0.9918,,,,,,
suite106,db13-b4l1024,db,1.8775,1.8539,0.9874,,,,,,
suite106,db14-b128l128,db,0.7345,0.7236,0.9852,,,,,,
suite106,db14-b16l128,db,0.5598,0.5615,1.003,,,,,,
suite106,db15-b16l128,db,0.6179,0.6173,0.999,,,,,,
suite106,db15-b64l256,db,1.2838,1.2607,0.982,,,,,,
suite106,db16-b256l512,db,4.4725,7.946,1.7766,,,4.4722,7.9345,1.7742,real
suite106,db16-b64l256,db,1.0781,1.0609,0.984,,,,,,
suite106,db17-b256l512,db,7.282,11.6455,1.5992,,,7.2813,11.6177,1.5956,real
suite106,db17-b4l1024,db,5.6928,5.6717,0.9963,,,,,,
suite106,db18-b128l128,db,1.5951,1.5731,0.9862,,,,,,
suite106,db18-b4l1024,db,7.2221,7.1992,0.9968,,,,,,
suite106,db19-b128l128,db,1.6664,1.6466,0.9881,,,,,,
suite106,db19-b16l128,db,1.1617,1.162,1.0003,,,,,,
suite106,mid00-b16l256,mid,4.6062,4.5853,0.9955,,,,,,
suite106,mid00-b64l128,mid,2.6632,2.6455,0.9934,,,,,,
suite106,mid01-b16l256,mid,1.6098,1.608,0.9989,,,,,,
suite106,mid01-b64l128,mid,2.0129,2.015,1.001,,,,,,
suite106,mid02-b16l256,mid,1.327,1.3294,1.0018,,,,,,
suite106,mid02-b64l128,mid,1.1389,1.1237,0.9867,,,,,,
suite106,mid03-b16l256,mid,7.2905,7.2698,0.9972,,,,,,
suite106,mid03-b64l128,mid,3.9973,3.9743,0.9942,,,,,,
suite106,mid04-b16l256,mid,4.8807,4.8524,0.9942,,,,,,
suite106,mid04-b64l128,mid,3.1178,3.0847,0.9894,,,,,,
suite106,mid05-b16l256,mid,1.937,1.9442,1.0037,,,,,,
suite106,mid05-b64l128,mid,2.629,2.64,1.0042,,,,,,
suite106,mid06-b16l256,mid,9.4804,9.4249,0.9941,,,,,,
suite106,mid06-b64l128,mid,5.8857,5.8587,0.9954,,,,,,
suite106,mid07-b16l256,mid,1.6812,1.6783,0.9983,,,,,,
suite106,mid07-b64l128,mid,2.9472,2.943,0.9986,,,,,,
suite106,mid08-b16l256,mid,7.0498,7.015,0.9951,,,,,,
suite106,mid08-b64l128,mid,4.7015,4.7083,1.0014,,,,,,
suite106,mid09-b16l256,mid,12.7039,12.6621,0.9967,,,,,,
suite106,mid09-b64l128,mid,8.114,8.2221,1.0133,,,,,,
suite106,mid10-b16l256,mid,12.7426,12.711,0.9975,,,,,,
suite106,mid10-b64l128,mid,8.1057,8.1619,1.0069,,,,,,
suite106,mid11-b16l256,mid,12.9677,12.9285,0.997,,,,,,
suite106,mid11-b64l128,mid,9.9108,8.7635,0.8842,,,8.5265,8.5605,1.004,in-suite artifact
suite106,mid12-b16l256,mid,17.2599,17.3336,1.0043,,,,,,
suite106,mid12-b64l128,mid,10.7715,11.4115,1.0594,,,,,,
suite106,mid13-b16l256,mid,4.1276,4.1933,1.0159,,,,,,
suite106,mid13-b64l128,mid,6.7069,6.9149,1.031,,,,,,
