suite,name,cls,stage1_ms,native_ms,native_over_stage1
suite106,big00-b32l128,big,11.3477,10.2396,0.9024
suite106,big00-b8l256,big,17.4007,17.3996,0.9999
suite106,big01-b32l128,big,19.8111,19.7895,0.9989
suite106,big01-b8l256,big,36.8239,39.3272,1.068
suite106,big02-b32l128,big,17.0112,17.0105,1.0
suite106,big02-b8l256,big,32.0661,32.0519,0.9996
suite106,big03-b32l128,big,18.1899,18.2041,1.0008
suite106,big03-b8l256,big,32.6131,32.6798,1.002
suite106,big04-b32l128,big,18.2897,18.2622,0.9985
suite106,big04-b8l256,big,32.6686,32.6805,1.0004
suite106,big05-b32l128,big,18.9038,19.4744,1.0302
suite106,big05-b8l256,big,32.7462,32.7273,0.9994
suite106,big06-b32l128,big,18.765,19.6227,1.0457
suite106,big06-b8l256,big,32.9088,32.9024,0.9998
suite106,big07-b32l128,big,18.9798,20.1949,1.064
suite106,big07-b8l256,big,33.399,34.7147,1.0394
suite106,big08-b32l128,big,26.9228,27.0263,1.0038
suite106,big08-b8l256,big,43.3126,43.2478,0.9985
suite106,big09-b32l128,big,23.8769,20.8539,0.8734
suite106,big09-b8l256,big,38.4039,25.3585,0.6603
suite106,big10-b32l128,big,60.0906,61.5281,1.0239
suite106,big10-b8l256,big,72.8359,74.0272,1.0164
suite106,big11-b32l128,big,35.902,42.3046,1.1783
suite106,big11-b8l256,big,64.9454,64.9329,0.9998
suite106,big12-b32l128,big,11.3716,9.9344,0.8736
suite106,big12-b8l256,big,5.5006,6.0016,1.0911
suite106,big13-b32l128,big,68.4399,72.5117,1.0595
suite106,big13-b8l256,big,92.3811,98.1776,1.0627
suite106,big14-b32l128,big,19.5794,22.3712,1.1426
suite106,big14-b8l256,big,11.1711,12.349,1.1054
suite106,big15-b32l128,big,71.1648,75.8507,1.0658
suite106,big15-b8l256,big,77.7205,79.964,1.0289
suite106,big16-b32l128,big,60.7045,67.0918,1.1052
suite106,big16-b8l256,big,88.7985,95.6089,1.0767
suite106,db00-b16l128,db,0.1439,0.1432,0.9951
suite106,db00-b64l256,db,0.2091,0.2106,1.0072
suite106,db01-b256l512,db,1.3374,1.3383,1.0007
suite106,db01-b64l256,db,0.2352,0.2345,0.997
suite106,db02-b256l512,db,3.4321,3.4427,1.0031
suite106,db02-b4l1024,db,0.7906,0.7893,0.9984
suite106,db03-b128l128,db,1.1646,1.1657,1.0009
suite106,db03-b4l1024,db,0.8159,0.812,0.9952
suite106,db04-b128l128,db,0.2969,0.2984,1.0051
suite106,db04-b16l128,db,0.2201,0.2199,0.9991
suite106,db05-b16l128,db,0.7088,0.7105,1.0024
suite106,db05-b64l256,db,1.4343,1.4282,0.9957
suite106,db06-b256l512,db,10.9499,10.9403,0.9991
suite106,db06-b64l256,db,1.459,1.4598,1.0005
suite106,db07-b256l512,db,16.0846,15.9905,0.9941
suite106,db07-b4l1024,db,24.2268,24.3202,1.0039
suite106,db08-b128l128,db,3.6722,3.6765,1.0012
suite106,db08-b4l1024,db,24.2695,24.2674,0.9999
suite106,db09-b128l128,db,1.4041,1.4151,1.0078
suite106,db09-b16l128,db,0.3838,0.3907,1.018
suite106,db10-b16l128,db,3.5175,3.5109,0.9981
suite106,db10-b64l256,db,7.4184,7.4147,0.9995
suite106,db11-b256l512,db,2.1772,2.1796,1.0011
suite106,db11-b64l256,db,0.6362,0.639,1.0044
suite106,db12-b256l512,db,100.9682,101.1311,1.0016
suite106,db12-b4l1024,db,135.4484,135.0052,0.9967
