name,cls,stage1_ms,native_ms,native_over_stage1,p23_native_ms
big00-b32l128,big,13.0091,10.3315,0.7942,10.2396
big00-b8l256,big,17.4552,17.6075,1.0087,17.3996
big01-b32l128,big,21.7092,19.8793,0.9157,19.7895
big01-b8l256,big,37.0321,39.9459,1.0787,39.3272
big02-b32l128,big,18.5484,17.285,0.9319,17.0105
big02-b8l256,big,32.1346,32.3119,1.0055,32.0519
big03-b32l128,big,22.38,18.509,0.827,18.2041
big03-b8l256,big,32.6744,33.0005,1.01,32.6798
big04-b32l128,big,21.9971,18.5718,0.8443,18.2622
big04-b8l256,big,32.726,33.0288,1.0093,32.6805
big05-b32l128,big,22.0206,19.4834,0.8848,19.4744
big05-b8l256,big,32.8061,33.1149,1.0094,32.7273
big06-b32l128,big,21.52,19.288,0.8963,19.6227
big06-b8l256,big,32.9397,33.2791,1.0103,32.9024
big07-b32l128,big,21.3822,19.5165,0.9127,20.1949
big07-b8l256,big,33.402,35.3656,1.0588,34.7147
big08-b32l128,big,27.5025,27.6119,1.004,27.0263
big08-b8l256,big,43.4631,43.8278,1.0084,43.2478
big09-b32l128,big,22.2263,21.3353,0.9599,20.8539
big09-b8l256,big,38.4551,26.2256,0.682,25.3585
big10-b32l128,big,65.6058,49.1516,0.7492,61.5281
big10-b8l256,big,73.608,74.6919,1.0147,74.0272
big11-b32l128,big,40.12,37.2567,0.9286,42.3046
big11-b8l256,big,65.0763,65.5827,1.0078,64.9329
big12-b32l128,big,9.7785,9.8556,1.0079,9.9344
big12-b8l256,big,5.2244,5.252,1.0053,6.0016
big13-b32l128,big,73.6417,55.33,0.7513,72.5117
big13-b8l256,big,102.9283,82.548,0.802,98.1776
big14-b32l128,big,18.138,18.1748,1.002,22.3712
big14-b8l256,big,11.0584,10.9951,0.9943,12.349
big15-b32l128,big,77.6149,60.7499,0.7827,75.8507
big15-b8l256,big,78.4605,78.7048,1.0031,79.964
big16-b32l128,big,61.6211,61.6592,1.0006,67.0918
big16-b8l256,big,94.9161,85.2789,0.8985,95.6089
db00-b16l128,db,0.149,0.1478,0.9919,0.1432
db00-b64l256,db,0.2099,0.2111,1.0057,0.2106
db01-b256l512,db,1.3507,1.3395,0.9917,1.3383
db01-b64l256,db,0.2373,0.2356,0.9928,0.2345
db02-b256l512,db,3.5065,3.4645,0.988,3.4427
db02-b4l1024,db,0.8007,0.7899,0.9865,0.7893
db03-b128l128,db,1.1701,1.1617,0.9928,1.1657
db03-b4l1024,db,0.8166,0.8172,1.0007,0.812
db04-b128l128,db,0.2992,0.2997,1.0017,0.2984
db04-b16l128,db,0.2238,0.2205,0.9853,0.2199
db05-b16l128,db,0.7105,0.7078,0.9962,0.7105
db05-b64l256,db,1.4388,1.4252,0.9905,1.4282
db06-b256l512,db,11.1079,10.9763,0.9882,10.9403
db06-b64l256,db,1.4663,1.4587,0.9948,1.4598
db07-b256l512,db,16.0634,16.007,0.9965,15.9905
db07-b4l1024,db,24.6366,25.1132,1.0193,24.3202
db08-b128l128,db,3.6747,3.6846,1.0027,3.6765
db08-b4l1024,db,24.6711,24.6384,0.9987,24.2674
db09-b128l128,db,1.4246,1.4106,0.9902,1.4151
db09-b16l128,db,0.3908,0.3765,0.9634,0.3907
db10-b16l128,db,3.5215,3.5113,0.9971,3.5109
db10-b64l256,db,7.4395,7.3977,0.9944,7.4147
db11-b256l512,db,2.1946,2.181,0.9938,2.1796
db11-b64l256,db,0.6387,0.6386,0.9998,0.639
db12-b256l512,db,101.2611,101.1428,0.9988,101.1311
db12-b4l1024,db,141.0411,135.1858,0.9585,135.0052
db13-b128l128,db,0.6547,0.6448,0.9849,0.6456
db13-b4l1024,db,1.9145,1.8872,0.9857,1.8928
db14-b128l128,db,0.7463,0.737,0.9875,0.7345
db14-b16l128,db,0.5717,0.5593,0.9783,0.5601
db15-b16l128,db,0.6293,0.6205,0.986,0.62
db15-b64l256,db,1.3021,1.2902,0.9909,1.2868
db16-b256l512,db,4.5609,4.4861,0.9836,4.4737
db16-b64l256,db,1.0887,1.0842,0.9959,1.0835
db17-b256l512,db,7.4288,7.3114,0.9842,7.2887
db17-b4l1024,db,5.7667,5.6804,0.985,5.6821
db18-b128l128,db,1.6127,1.597,0.9903,1.5979
db18-b4l1024,db,7.2824,7.2295,0.9927,7.2196
db19-b128l128,db,1.6921,1.6692,0.9865,1.671
db19-b16l128,db,1.1719,1.1634,0.9927,1.1611
