name,cls,stage1_ms,p25sem_ms,p27_ms,p27_over_p25sem,p27_over_stage1,native_p25_ms
big00-b32l128,big,11.2871,10.2303,10.249,1.0018,0.908,10.3315
big00-b8l256,big,17.4067,17.4223,17.4026,0.9989,0.9998,17.6075
big01-b32l128,big,19.8193,19.7818,19.7887,1.0003,0.9985,19.8793
big01-b8l256,big,36.8572,39.2816,39.2384,0.9989,1.0646,39.9459
big02-b32l128,big,17.0314,17.0209,17.029,1.0005,0.9999,17.285
big02-b8l256,big,32.0826,32.0653,32.0615,0.9999,0.9993,32.3119
big03-b32l128,big,18.2127,18.2098,18.2201,1.0006,1.0004,18.509
big03-b8l256,big,32.6451,32.6366,32.6318,0.9999,0.9996,33.0005
big04-b32l128,big,18.2878,18.2819,18.2789,0.9998,0.9995,18.5718
big04-b8l256,big,32.6801,32.7077,32.6901,0.9995,1.0003,33.0288
big05-b32l128,big,19.1105,19.193,18.9568,0.9877,0.992,19.4834
big05-b8l256,big,32.7371,32.7392,32.7376,1.0,1.0,33.1149
big06-b32l128,big,18.8194,18.9538,18.9001,0.9972,1.0043,19.288
big06-b8l256,big,32.9226,32.8992,32.8984,1.0,0.9993,33.2791
big07-b32l128,big,18.9937,19.3137,19.3161,1.0001,1.017,19.5165
big07-b8l256,big,33.4901,34.6583,34.8969,1.0069,1.042,35.3656
big08-b32l128,big,27.365,27.4576,27.7029,1.0089,1.0123,27.6119
big08-b8l256,big,43.1411,43.4762,43.6043,1.0029,1.0107,43.8278
big09-b32l128,big,21.5708,21.1106,21.0944,0.9992,0.9779,21.3353
big09-b8l256,big,38.4178,25.5375,25.5775,1.0016,0.6658,26.2256
big10-b32l128,big,68.6404,48.7951,47.9872,0.9834,0.6991,49.1516
big10-b8l256,big,73.4546,73.6595,73.5096,0.998,1.0007,74.6919
big11-b32l128,big,39.7576,41.8263,41.391,0.9896,1.0411,37.2567
big11-b8l256,big,64.9872,65.0714,64.9576,0.9983,0.9995,65.5827
big12-b32l128,big,9.7184,9.7601,9.7287,0.9968,1.0011,9.8556
big12-b8l256,big,5.2147,5.8336,5.1873,0.8892,0.9947,5.252
big13-b32l128,big,76.2649,59.4829,56.3976,0.9481,0.7395,55.33
big13-b8l256,big,105.787,87.9793,83.2742,0.9465,0.7872,82.548
big14-b32l128,big,17.5919,22.4212,20.2267,0.9021,1.1498,18.1748
big14-b8l256,big,10.7737,12.0603,11.5171,0.955,1.069,10.9951
big15-b32l128,big,80.5671,63.8831,58.7349,0.9194,0.729,60.7499
big15-b8l256,big,78.2922,79.943,78.269,0.9791,0.9997,78.7048
big16-b32l128,big,63.07,67.5592,66.1497,0.9791,1.0488,61.6592
big16-b8l256,big,100.1701,91.5918,88.7346,0.9688,0.8858,85.2789
db00-b16l128,db,0.1443,0.1467,0.1481,1.0095,1.0263,0.1478
db00-b64l256,db,0.2089,0.2098,0.2108,1.0048,1.0091,0.2111
db01-b256l512,db,1.3385,1.3384,1.3391,1.0005,1.0004,1.3395
db01-b64l256,db,0.2348,0.2353,0.2381,1.0119,1.0141,0.2356
db02-b256l512,db,3.441,3.4415,3.4526,1.0032,1.0034,3.4645
db02-b4l1024,db,0.7933,0.7864,0.7997,1.0169,1.0081,0.7899
db03-b128l128,db,1.1665,1.1637,1.158,0.9951,0.9927,1.1617
db03-b4l1024,db,0.8127,0.8193,0.8168,0.9969,1.005,0.8172
db04-b128l128,db,0.2984,0.2999,0.2988,0.9963,1.0013,0.2997
db04-b16l128,db,0.2183,0.2206,0.2241,1.0159,1.0266,0.2205
db05-b16l128,db,0.7114,0.7059,0.7089,1.0042,0.9965,0.7078
db05-b64l256,db,1.435,1.4277,1.428,1.0002,0.9951,1.4252
db06-b256l512,db,10.9583,10.9537,10.9641,1.0009,1.0005,10.9763
db06-b64l256,db,1.4581,1.4573,1.4599,1.0018,1.0012,1.4587
db07-b256l512,db,16.059,15.9953,15.9954,1.0,0.996,16.007
db07-b4l1024,db,24.1806,24.3676,24.3697,1.0001,1.0078,25.1132
db08-b128l128,db,3.6677,3.681,3.6797,0.9996,1.0033,3.6846
db08-b4l1024,db,24.3048,24.2631,24.3709,1.0044,1.0027,24.6384
db09-b128l128,db,1.4045,1.4113,1.4155,1.003,1.0078,1.4106
db09-b16l128,db,0.3882,0.3887,0.3902,1.0039,1.0052,0.3765
db10-b16l128,db,3.5214,3.5065,3.5123,1.0017,0.9974,3.5113
db10-b64l256,db,7.4237,7.3938,7.3946,1.0001,0.9961,7.3977
db11-b256l512,db,2.1791,2.1855,2.1835,0.9991,1.002,2.181
db11-b64l256,db,0.6376,0.6421,0.6397,0.9963,1.0033,0.6386
db12-b256l512,db,101.0509,101.1827,101.3198,1.0014,1.0027,101.1428
db12-b4l1024,db,135.6051,135.023,135.0377,1.0001,0.9958,135.1858
db13-b128l128,db,0.6445,0.6441,0.6458,1.0026,1.002,0.6448
db13-b4l1024,db,1.8755,1.8747,1.8774,1.0014,1.001,1.8872
db14-b128l128,db,0.7352,0.7354,0.7362,1.0011,1.0014,0.737
db14-b16l128,db,0.5595,0.561,0.561,1.0,1.0027,0.5593
db15-b16l128,db,0.6191,0.6185,0.6213,1.0045,1.0036,0.6205
db15-b64l256,db,1.2856,1.2884,1.2877,0.9995,1.0016,1.2902
db16-b256l512,db,4.4898,4.4833,4.4821,0.9997,0.9983,4.4861
db16-b64l256,db,1.0793,1.0814,1.0792,0.998,0.9999,1.0842
db17-b256l512,db,7.3007,7.3051,7.3059,1.0001,1.0007,7.3114
db17-b4l1024,db,5.7035,5.6837,5.6865,1.0005,0.997,5.6804
db18-b128l128,db,1.5971,1.5971,1.6012,1.0026,1.0026,1.597
db18-b4l1024,db,7.2325,7.2299,7.2309,1.0001,0.9998,7.2295
db19-b128l128,db,1.6626,1.6706,1.6713,1.0004,1.0052,1.6692
db19-b16l128,db,1.163,1.1641,1.1656,1.0013,1.0022,1.1634
mid00-b16l256,mid,4.6182,4.6205,4.6199,0.9999,1.0004,4.6099
mid00-b64l128,mid,2.6618,2.6699,2.6646,0.998,1.0011,2.6627
mid01-b16l256,mid,1.6147,1.6218,1.6203,0.9991,1.0035,1.6108
mid01-b64l128,mid,2.0141,2.02,2.0209,1.0004,1.0034,2.0163
mid02-b16l256,mid,1.3321,1.33,1.3305,1.0004,0.9988,1.3312
mid02-b64l128,mid,1.135,1.1362,1.13,0.9945,0.9956,1.133
mid03-b16l256,mid,7.2975,7.295,7.3042,1.0013,1.0009,7.2992
mid03-b64l128,mid,3.9963,4.0076,4.0061,0.9996,1.0025,4.0084
mid04-b16l256,mid,4.8902,4.93,4.9248,0.9989,1.0071,4.9121
mid04-b64l128,mid,3.1163,3.1148,3.1157,1.0003,0.9998,3.1159
mid05-b16l256,mid,1.9478,1.9406,1.9486,1.0041,1.0004,1.9502
