file,passed,failed,skipped,errors,rc,seconds
absl_cpp_logging_test.py,0,0,0,0,0,0.3
ann_test.py,0,32,10,0,1,0.8
aot_test.py,21,2,5,0,1,0.7
api_test.py,658,61,172,0,1,25.1
api_util_test.py,20,0,0,0,0,0.4
array_api_test.py,19,0,0,0,0,0.4
array_extensibility_test.py,606,8,0,0,1,16.3
array_interoperability_test.py,2,0,108,0,0,0.4
array_test.py,60,0,161,0,0,0.6
async_collectives_test.py,0,5,7,0,1,0.5
batching_test.py,227,5,0,0,1,6.7
blocked_sampler_test.py,7,0,0,0,0,10.2
buffer_callback_test.py,0,1,50,0,1,0.4
cache_key_test.py,14,0,2,0,0,0.4
checkify_test.py,97,4,4,0,1,5.5
cholesky_update_test.py,0,2,2,0,1,0.5
clear_backends_test.py,1,0,0,0,0,0.4
colocated_python_test.py,0,0,0,0,0,0.3
compilation_cache_test.py,2,1,33,33,1,0.4
config_test.py,10,0,1,0,0,0.3
control_deps_test.py,0,0,0,0,0,0.4
core_test.py,480,0,0,0,0,8.4
cudnn_fusion_test.py,0,0,0,0,0,0.4
custom_api_test.py,421,0,15,0,0,13.6
custom_linear_solve_test.py,3,11,2,0,1,0.8
custom_partitioning_sharding_rule_test.py,58,0,0,0,0,0.3
custom_partitioning_test.py,0,0,0,0,0,0.4
custom_root_test.py,3,5,0,0,1,1.3
debug_info_test.py,0,0,0,0,0,0.3
debug_nans_test.py,24,2,2,0,1,0.8
debugger_test.py,0,0,0,0,0,0.4
debugging_primitives_test.py,22,31,15,0,1,0.7
deprecation_test.py,3,0,0,0,0,0.3
device_test.py,2,0,0,0,0,0.4
distributed_initialize_test.py,0,0,0,0,0,0.3
distributed_test.py,0,0,0,0,0,0.3
documentation_coverage_test.py,85,0,0,0,0,0.4
dtypes_test.py,749,68,21,0,1,4.3
eigh_test.py,5,78,11,0,1,3.7
error_check_test.py,22,0,4,0,0,1.3
errors_test.py,69,0,0,0,0,1.0
experimental_rnn_test.py,10,0,12,0,0,5.8
export_back_compat_test.py,4,0,99,0,0,0.5
export_harnesses_multi_platform_test.py,3162,44,2392,0,1,248.5
export_serialization_back_compat_test.py,0,0,0,0,0,0.4
export_test.py,102,20,51,0,1,2.3
extend_test.py,8,0,0,0,0,0.4
ffi_test.py,56,0,14,0,0,0.6
fft_test.py,98,0,2,0,0,3.1
fused_attention_stablehlo_multigpu_test.py,0,0,0,0,0,0.4
fused_attention_stablehlo_test.py,0,0,0,0,0,0.4
fused_test.py,4,0,0,0,0,0.4
garbage_collection_guard_test.py,4,0,0,0,0,0.5
generated_fun_test.py,24,0,0,0,0,0.7
gpu_memory_flags_test.py,0,0,0,0,0,0.3
hardware_utils_test.py,6,0,0,0,0,0.3
heap_profiler_test.py,0,1,0,0,1,0.4
hijax_test.py,126,0,9,0,0,2.5
hypothesis_test_util_test.py,0,0,0,1,2,0.1
image_test.py,67,0,20,0,0,7.3
jax_jit_test.py,10,6,2,0,1,0.5
jax_numpy_error_test.py,168,0,3,0,0,2.7
jax_to_ir_test.py,4,0,1,0,0,0.4
jaxpr_effects_test.py,48,15,6,0,1,0.7
jaxpr_util_test.py,9,0,0,0,0,0.4
jet_test.py,64,1,14,0,1,13.8
key_reuse_test.py,90,0,0,0,0,0.8
lax_autodiff_test.py,678,4,0,0,1,47.4
lax_control_flow_test.py,534,8,483,0,1,35.2
lax_numpy_einsum_test.py,176,0,0,0,0,1.8
lax_numpy_hijax_test.py,72,0,0,0,0,4.5
lax_numpy_indexing_test.py,359,13,0,0,1,11.8
lax_numpy_operators_test.py,1589,33,2,0,1,27.9
lax_numpy_reducers_test.py,683,7,4,0,1,13.8
lax_numpy_setops_test.py,134,18,0,0,1,9.3
lax_numpy_test.py,3153,57,34,0,1,83.6
lax_numpy_ufuncs_test.py,202,3,8,0,1,3.1
lax_numpy_vectorize_test.py,35,0,0,0,0,0.8
lax_scipy_sparse_test.py,29,26,36,0,1,4.4
lax_scipy_special_functions_test.py,394,15,0,0,1,94.0
lax_scipy_spectral_dac_test.py,0,5,5,0,1,2.0
lax_scipy_test.py,93,10,18,0,1,8.2
lax_test.py,2458,63,52,0,1,37.1
lax_vmap_op_test.py,398,0,292,0,0,12.4
lax_vmap_test.py,287,30,10,0,1,12.4
layout_test.py,6,2,32,0,1,0.5
lazy_loader_test.py,1,0,0,0,0,0.3
linalg_sharding_test.py,0,0,0,0,0,0.4
linalg_test.py,362,361,192,0,1,28.2
lobpcg_test.py,1,54,0,0,1,1.7
local_wheel_smoke_test.py,0,0,0,0,0,0.3
logging_test.py,5,2,0,0,1,3.0
lru_cache_test.py,9,0,0,0,0,4.3
magma_linalg_test.py,0,0,0,0,0,0.4
memories_test.py,12,2,112,0,1,0.6
mesh_utils_test.py,84,0,0,0,0,0.6
metadata_test.py,4,0,2,0,0,0.4
mock_gpu_test.py,0,0,0,0,0,0.3
mock_gpu_topology_test.py,0,0,0,0,0,0.3
monitoring_test.py,8,0,0,0,0,0.3
mosaic_test.py,0,0,0,0,0,0.3
multi_device_test.py,2,0,18,0,0,0.4
multibackend_test.py,10,0,13,0,0,0.6
multiprocess_gpu_test.py,0,0,0,0,0,0.3
mutable_array_test.py,130,2,36,0,1,3.5
name_stack_test.py,32,0,0,0,0,0.6
nn_test.py,363,15,31,0,1,13.2
ode_test.py,13,1,0,0,1,10.3
optimizers_test.py,24,0,0,0,0,9.1
package_structure_test.py,6,0,0,0,0,0.3
pgle_test.py,0,0,0,0,0,0.4
pickle_test.py,18,1,3,0,1,0.5
pjit_test.py,133,3,684,0,1,2.2
pmap_test.py,147,60,82,0,1,4.7
polynomial_test.py,2,18,0,0,1,0.9
pretty_printer_test.py,13,0,0,0,0,0.3
profiler_session_test.py,0,3,0,0,1,0.3
profiler_test.py,6,8,10,0,1,0.7
python_callback_test.py,0,0,0,0,0,0.4
pytorch_interoperability_test.py,0,0,0,0,0,0.8
qdwh_test.py,8,46,0,0,1,1.9
ragged_collective_test.py,1,0,11,0,0,0.4
random_impl_test.py,60,0,0,0,0,1.6
random_lax_test.py,508,36,44,0,1,34.4
random_test.py,237,1,16,0,1,2.6
roofline_test.py,136,0,24,0,0,0.9
scaled_dot_test.py,0,0,0,0,0,0.3
scaled_matmul_stablehlo_test.py,0,0,0,0,0,0.4
scheduling_groups_test.py,2,0,5,0,0,0.5
scipy_fft_test.py,46,0,1,0,0,8.2
scipy_interpolate_test.py,4,0,0,0,0,1.3
scipy_ndimage_test.py,16,0,0,0,0,0.7
scipy_optimize_test.py,11,2,1,0,1,2.2
scipy_signal_test.py,48,28,24,0,1,7.0
scipy_spatial_test.py,69,2,0,0,1,13.8
scipy_stats_test.py,908,74,0,0,1,92.6
shape_poly_test.py,2155,191,109,0,1,109.9
shard_alike_test.py,0,1,13,0,1,0.4
shard_map_test.py,50,16,386,0,1,14.6
source_info_test.py,6,0,0,0,0,0.4
source_mapper_test.py,4,0,0,0,0,0.4
sourcemap_test.py,23,0,0,0,0,0.3
sparse_bcoo_bcsr_test.py,263,157,25,0,1,139.5
sparse_test.py,306,104,54,0,1,18.9
sparsify_test.py,124,92,0,0,1,14.2
stack_test.py,2,0,0,0,0,0.4
state_test.py,0,0,0,1,2,0.2
stateful_rng_test.py,51,0,0,0,0,3.4
stax_test.py,71,0,0,0,0,2.3
string_array_test.py,6,0,5,0,0,0.4
svd_test.py,0,65,18,0,1,2.1
traceback_test.py,10,0,0,0,0,0.4
transfer_guard_test.py,29,0,0,0,0,0.5
tree_util_test.py,451,0,23,0,0,0.8
typing_test.py,4,0,0,0,0,0.5
unary_ops_accuracy_test.py,0,0,0,0,0,0.4
util_test.py,19,0,0,0,0,0.4
version_test.py,6,0,0,0,0,0.3
warnings_util_test.py,5,0,0,0,0,0.3
x64_context_test.py,9,13,2,0,1,1.0
xla_bridge_test.py,18,0,0,0,0,0.4
xla_interpreter_test.py,1,0,0,0,0,0.3
xla_metadata_test.py,47,0,0,0,0,1.0
xla_transform_test.py,0,4,3,0,1,0.4
