name,cls,stage1_ms,native_ms,native_over_stage1,p27_native_ms,native_over_p27,p27_stage1_ms
big00-b32l128,big,11.4354,10.2542,0.8967,10.249,1.0005,11.2871
big00-b8l256,big,17.4214,17.4199,0.9999,17.4026,1.001,17.4067
big01-b32l128,big,19.8113,19.7961,0.9992,19.7887,1.0004,19.8193
big01-b8l256,big,36.8265,39.3873,1.0695,39.2384,1.0038,36.8572
big02-b32l128,big,17.0098,17.0191,1.0005,17.029,0.9994,17.0314
big02-b8l256,big,32.0847,32.1003,1.0005,32.0615,1.0012,32.0826
big03-b32l128,big,18.2361,18.2301,0.9997,18.2201,1.0005,18.2127
big03-b8l256,big,32.6498,32.6882,1.0012,32.6318,1.0017,32.6451
big04-b32l128,big,18.295,18.31,1.0008,18.2789,1.0017,18.2878
big04-b8l256,big,32.6716,32.6968,1.0008,32.6901,1.0002,32.6801
big05-b32l128,big,18.932,19.0677,1.0072,18.9568,1.0059,19.1105
big05-b8l256,big,32.7488,32.7654,1.0005,32.7376,1.0008,32.7371
big06-b32l128,big,18.8009,19.4375,1.0339,18.9001,1.0284,18.8194
big06-b8l256,big,32.9217,32.9144,0.9998,32.8984,1.0005,32.9226
big07-b32l128,big,19.0249,20.0032,1.0514,19.3161,1.0356,18.9937
big07-b8l256,big,33.5446,34.8347,1.0385,34.8969,0.9982,33.4901
big08-b32l128,big,27.059,27.1638,1.0039,27.7029,0.9805,27.365
big08-b8l256,big,43.1847,43.5827,1.0092,43.6043,0.9995,43.1411
big09-b32l128,big,23.9651,20.8795,0.8712,21.0944,0.9898,21.5708
big09-b8l256,big,38.4165,25.436,0.6621,25.5775,0.9945,38.4178
big10-b32l128,big,59.0152,47.1963,0.7997,47.9872,0.9835,68.6404
big10-b8l256,big,73.0414,73.162,1.0017,73.5096,0.9953,73.4546
big11-b32l128,big,35.9746,37.5505,1.0438,41.391,0.9072,39.7576
big11-b8l256,big,65.0425,64.9712,0.9989,64.9576,1.0002,64.9872
big12-b32l128,big,11.444,11.9374,1.0431,9.7287,1.227,9.7184
big12-b8l256,big,5.5362,5.8094,1.0493,5.1873,1.1199,5.2147
big13-b32l128,big,67.3617,56.5015,0.8388,56.3976,1.0018,76.2649
big13-b8l256,big,92.4102,81.6659,0.8837,83.2742,0.9807,105.787
big14-b32l128,big,20.7759,20.916,1.0067,20.2267,1.0341,17.5919
big14-b8l256,big,11.256,11.8357,1.0515,11.5171,1.0277,10.7737
big15-b32l128,big,71.4981,58.5926,0.8195,58.7349,0.9976,80.5671
big15-b8l256,big,77.8409,77.4996,0.9956,78.269,0.9902,78.2922
big16-b32l128,big,60.8204,66.0499,1.086,66.1497,0.9985,63.07
big16-b8l256,big,88.9523,86.9714,0.9777,88.7346,0.9801,100.1701
db00-b16l128,db,0.1435,0.1476,1.0286,0.1481,0.9966,0.1443
db00-b64l256,db,0.2106,0.2102,0.9981,0.2108,0.9972,0.2089
db01-b256l512,db,1.3452,1.3432,0.9985,1.3391,1.0031,1.3385
db01-b64l256,db,0.238,0.2333,0.9803,0.2381,0.9798,0.2348
