name,stage1_pjrt_ms,stage1_engine_ms,native_ms,native_over_stage1_pjrt,cpu_ms,anchor_metal_ms,anchor_cpu_ms,anchor_over_native
tc000-w5,0.1714,0.1598,0.1732,1.0105,0.0934,0.1659,0.0933,0.9579
tc001-w7,0.6587,0.639,0.6613,1.0039,0.4584,0.6312,0.4593,0.9545
tc002-w8,0.2296,0.208,0.2212,0.9634,0.036,0.2126,0.0366,0.9611
tc003-w10,0.2286,0.215,0.2249,0.9838,0.0121,0.2499,0.0117,1.1112
tc004-w11,0.349,0.341,0.3548,1.0166,0.0189,0.3471,0.0179,0.9783
tc005-w12,0.2773,0.2638,0.2742,0.9888,0.1165,0.31,0.1138,1.1306
tc006-w13,0.3556,0.3412,0.3571,1.0042,0.0849,0.3757,0.0833,1.0521
tc007-w14,0.3288,0.3152,0.322,0.9793,0.7574,0.3636,0.7504,1.1292
tc008-w15,0.5151,0.506,0.522,1.0134,0.1142,0.4823,0.112,0.9239
tc009-w16,0.9663,1.0313,1.0428,1.0792,0.1626,1.0313,0.1569,0.989
tc010-w17,0.6446,0.6346,0.6482,1.0056,0.2444,0.6083,0.2413,0.9384
tc011-w18,0.3461,0.3298,0.3404,0.9835,0.0295,0.3845,0.0312,1.1296
tc012-w20,0.5754,0.5784,0.582,1.0115,0.4943,0.5652,0.4852,0.9711
tc013-w22,0.5165,0.5209,0.5273,1.0209,0.0383,0.5251,0.0365,0.9958
tc014-w23,0.8731,0.8743,0.8785,1.0062,0.077,0.8749,0.0756,0.9959
tc015-w24,0.8824,0.8898,0.8936,1.0127,0.1168,0.8845,0.1187,0.9898
tc016-w25,0.4603,0.4485,0.4608,1.0011,0.0392,0.5145,0.0384,1.1165
tc017-w26,0.4632,0.4528,0.4632,1.0,0.0401,0.5176,0.0389,1.1174
tc018-w27,1.5865,1.5764,1.5834,0.998,0.1832,1.5892,0.1804,1.0037
tc019-w28,0.908,0.9067,0.9126,1.0051,0.108,0.91,0.1072,0.9972
tc020-w29,0.9738,0.9765,0.9805,1.0069,0.2116,0.977,0.2086,0.9964
tc021-w31,1.4327,1.4342,1.4437,1.0077,0.7177,1.4456,0.7051,1.0013
tc022-w32,0.8213,0.826,0.8287,1.009,0.2123,0.8239,0.215,0.9942
tc023-w34,0.7333,0.7338,0.7403,1.0095,0.2234,0.7285,0.2237,0.9841
tc024-w35,0.8573,0.8685,0.8646,1.0085,0.432,0.8608,0.4259,0.9956
tc025-w40,0.6299,0.6621,0.6389,1.0143,0.1166,0.7048,0.1166,1.1031
tc026-w41,0.7611,0.7679,0.7754,1.0188,0.2488,0.7632,0.2518,0.9843
tc027-w42,1.0311,1.0357,1.0403,1.0089,0.2367,1.0401,0.2372,0.9998
tc028-w44,1.031,1.0353,1.0452,1.0138,0.2587,1.0427,0.2574,0.9976
tc029-w47,1.6746,1.8876,1.693,1.011,0.2668,1.8899,0.2654,1.1163
tc030-w49,2.0438,2.019,2.0677,1.0117,0.2928,2.0134,0.2933,0.9737
tc031-w52,1.065,1.1016,1.0759,1.0102,0.2692,1.105,0.2703,1.027
tc032-w55,1.3075,1.3041,1.3161,1.0066,0.07,1.3221,0.0687,1.0046
tc033-w57,2.4337,2.4359,2.4497,1.0066,0.7756,2.4386,0.7607,0.9955
tc034-w59,3.1768,3.1508,3.203,1.0082,0.8105,3.1678,0.795,0.989
tc035-w65,3.5701,3.5854,3.6138,1.0122,0.8093,3.5819,0.7867,0.9912
tc036-w69,2.4683,2.4553,2.4669,0.9994,0.7617,2.4635,0.7473,0.9986
tc037-w73,2.4227,2.4374,2.4356,1.0053,0.158,2.4424,0.1603,1.0028
tc038-w75,2.5034,2.5065,2.5325,1.0116,0.8457,2.5106,0.8237,0.9914
tc039-w77,2.3891,2.388,2.4089,1.0083,1.3138,2.3931,1.2842,0.9934
tc040-w79,2.539,2.5428,2.5772,1.015,0.9016,2.5552,0.8774,0.9915
tc041-w80,2.45,2.4796,2.4754,1.0104,0.7261,2.4828,0.7135,1.003
tc042-w84,6.64,6.6761,6.6731,1.005,0.2894,6.8687,0.2874,1.0293
tc043-w85,5.4954,5.4913,5.5102,1.0027,0.1752,5.516,0.1725,1.0011
tc044-w87,5.5266,5.5231,5.536,1.0017,0.1763,5.5178,0.1738,0.9967
tc045-w93,2.526,2.5242,2.5209,0.998,0.8288,2.5341,0.8112,1.0052
tc046-w97,2.4776,2.4804,2.4877,1.0041,1.5581,2.4953,1.5243,1.0031
tc047-w101,2.4959,2.5067,2.5002,1.0017,1.5277,2.4974,1.5025,0.9989
tc048-w105,0.5854,0.5853,0.6101,1.0422,0.0583,0.6559,0.0567,1.0751
tc049-w113,0.5453,0.5322,0.5661,1.0381,0.1521,0.6147,0.1512,1.0859
tc050-w117,0.5871,0.5894,0.612,1.0424,0.1567,0.6553,0.1548,1.0708
tc051-w121,0.4209,0.4117,0.4293,1.02,0.0478,0.4682,0.047,1.0906
tc052-w124,1.0053,0.9872,1.0103,1.005,0.5286,0.9796,0.5204,0.9696
tc053-w125,0.47,0.4638,0.482,1.0255,0.0322,0.528,0.0317,1.0954
tc054-w129,0.5492,0.5446,0.5637,1.0264,0.0607,0.6214,0.0605,1.1024
tc055-w133,0.6065,0.6092,0.6241,1.029,0.0863,0.6888,0.086,1.1037
tc056-w141,0.6668,0.6928,0.6959,1.0436,0.3116,0.7446,0.3064,1.07
tc057-w145,0.4878,0.4882,0.5018,1.0287,0.1939,0.5461,0.1936,1.0883
tc058-w149,0.4882,0.4844,0.4989,1.0219,0.0315,0.5616,0.0312,1.1257
tc059-w153,0.5592,0.5602,0.5754,1.029,0.1097,0.6444,0.1097,1.1199
tc060-w159,0.6738,0.6817,0.6953,1.0319,0.1452,0.7778,0.1435,1.1187
tc061-w161,0.7383,0.7313,0.7713,1.0447,0.0944,0.8051,0.0932,1.0438
tc062-w169,0.5828,0.5803,0.6036,1.0357,0.0568,0.6497,0.0563,1.0764
tc063-w176,1.7215,1.7198,1.7183,0.9981,2.088,1.7097,2.1064,0.995
tc064-w185,0.4751,0.4753,0.4923,1.0362,0.0988,0.5344,0.0979,1.0855
tc065-w193,0.8532,0.8816,0.8634,1.012,0.3601,0.8828,0.358,1.0225
tc066-w196,0.7509,0.7515,0.7571,1.0083,0.4704,0.7694,0.4631,1.0162
tc067-w204,0.4443,0.4306,0.4461,1.0041,0.4224,0.4402,0.408,0.9868
tc068-w207,0.4292,0.4144,0.438,1.0205,0.7056,0.4191,0.6964,0.9568
tc069-w213,0.3061,0.2949,0.3133,1.0235,0.1018,0.3349,0.0992,1.0689
tc070-w215,0.3564,0.3425,0.3673,1.0306,0.1027,0.3804,0.1009,1.0357
tc071-w217,0.3499,0.3411,0.3626,1.0363,0.2171,0.3817,0.2146,1.0527
tc072-w221,0.4128,0.4031,0.4258,1.0315,0.1172,0.4664,0.117,1.0953
tc073-w223,0.7022,0.6949,0.7092,1.01,1.133,0.6992,1.1141,0.9859
tc074-w227,0.4614,0.4439,0.4707,1.0202,0.0642,0.4547,0.0633,0.966
